verbatimScientificName,individualCount,decimalLatitude,decimalLongitude,eventDate,day,month,year,stateProvince,week
Cardellina canadensis,1.0,4.613954,-74.34684,2021-12-13,13,12,2021,Cundinamarca,50
Cardellina canadensis,1.0,5.068649,-75.44631,2021-11-12,12,11,2021,Caldas,45
Cardellina canadensis,1.0,5.121639,-75.951904,2021-11-27,27,11,2021,Risaralda,47
Cardellina canadensis,1.0,4.447423,-75.22569,2021-10-09,9,10,2021,Tolima,40
Cardellina canadensis,1.0,3.34671,-76.55282,2021-10-02,2,10,2021,Valle del Cauca,39
Cardellina canadensis,1.0,3.534716,-76.75345,2021-11-30,30,11,2021,Valle del Cauca,48
Cardellina canadensis,1.0,3.616087,-76.883965,2021-12-07,7,12,2021,Valle del Cauca,49
Cardellina canadensis,1.0,4.665655,-75.61267,2021-12-18,18,12,2021,Quindío,50
Vireo flavoviridis,1.0,2.925833,-75.29392,2021-09-26,26,9,2021,Huila,39
Vireo flavoviridis,2.0,11.300975,-73.9183,2021-09-24,24,9,2021,Magdalena,38
Hirundo rustica,4.0,6.450257,-74.4397,2021-12-01,1,12,2021,Antioquia,48
Hirundo rustica,8.0,12.586125,-81.70217,2021-10-27,27,10,2021,San Andrés Providencia y Santa Catalina,43
Cardellina canadensis,1.0,6.462698,-73.245346,2021-12-24,24,12,2021,Santander,51
Cardellina canadensis,1.0,4.181908,-75.771255,2021-12-26,26,12,2021,Quindío,52
Hirundo rustica,9.0,11.434624,-73.07982,2021-12-21,21,12,2021,La Guajira,51
Cardellina canadensis,5.0,5.063843,-75.532135,2021-11-14,14,11,2021,Caldas,46
Hirundo rustica,14.0,4.654055,-74.09281,2021-11-01,1,11,2021,Distrito Capital de Bogotá,44
Cardellina canadensis,1.0,4.810727,-74.01425,2021-12-18,18,12,2021,Distrito Capital de Bogotá,50
Cardellina canadensis,1.0,4.665655,-75.61267,2021-12-18,18,12,2021,Quindío,50
Vireo flavoviridis,1.0,11.289433,-73.219406,2021-09-25,25,9,2021,La Guajira,38
Vireo flavoviridis,1.0,11.291855,-73.21853,2021-10-14,14,10,2021,La Guajira,41
Cardellina canadensis,1.0,5.820613,-76.172676,2021-12-11,11,12,2021,Chocó,49
